institute,person,run,status
43,1635,15,prim
13,1588,14,prim
13,1036,14,prim
13,1107,14,prim
62,1636,15,prim
23,764,15,prim
13,1588,15,prim
13,1036,15,prim
13,1107,15,prim
62,306,15,sec
8,425,15,sec
13,1571,15,sec
61,373,15,sec
62,322,15,sec
62,360,15,sec
62,393,15,sec
62,415,15,sec
61,471,15,sec
61,484,15,sec
57,516,15,prim
62,488,15,sec
62,712,15,sec
61,491,15,sec
64,520,15,sec
62,538,15,sec
61,543,15,sec
62,564,15,sec
62,567,15,sec
62,587,15,sec
62,599,15,sec
61,688,15,sec
61,488,15,prim
73,491,15,prim
38,493,15,prim
30,495,15,prim
61,800,15,sec
62,764,15,sec
64,874,15,sec
61,897,15,sec
61,902,15,sec
61,906,15,sec
61,909,15,sec
61,971,15,sec
61,1025,15,sec
61,1030,15,sec
39,800,15,prim
74,801,15,prim
43,805,15,prim
9,810,15,prim
9,811,15,prim
69,812,15,prim
79,815,15,prim
69,816,15,prim
61,1199,15,sec
1,1146,15,prim
68,1148,15,prim
30,1149,15,prim
38,1150,15,prim
30,1151,15,prim
57,1152,15,prim
69,1596,15,prim
43,1597,15,prim
74,1606,15,prim
9,1599,15,prim
84,532,15,sec
82,1598,15,prim
69,1559,15,prim
69,1560,15,prim
69,1561,15,prim
23,1562,15,prim
11,1563,15,prim
66,1564,15,prim
20,1565,15,prim
13,1567,15,prim
23,1568,15,prim
13,1569,15,prim
48,1570,15,prim
36,1571,15,prim
51,1572,15,prim
69,1573,15,prim
37,1574,15,prim
52,1575,15,prim
52,1576,15,prim
74,1577,15,prim
46,1578,15,prim
48,1637,15,prim
68,1580,15,prim
18,1581,15,prim
1,1582,15,prim
1,1583,15,prim
48,1584,15,prim
55,1585,15,prim
79,1586,15,prim
68,1587,15,prim
56,1589,15,prim
48,1590,15,prim
3,1591,15,prim
51,1592,15,prim
51,1593,15,prim
69,1594,15,prim
14,1595,15,prim
60,10,15,prim
12,31,15,prim
48,86,15,prim
60,104,15,prim
69,118,15,prim
28,142,15,prim
8,147,15,prim
67,150,15,prim
38,154,15,prim
27,167,15,prim
27,211,15,prim
38,237,15,prim
59,251,15,prim
30,260,15,prim
43,273,15,prim
38,283,15,prim
27,294,15,prim
27,298,15,prim
14,303,15,prim
48,304,15,prim
68,305,15,prim
61,306,15,prim
68,308,15,prim
27,1638,15,prim
57,314,15,prim
26,315,15,prim
21,316,15,prim
21,317,15,prim
9,319,15,prim
6,322,15,prim
8,327,15,prim
64,330,15,prim
62,334,15,prim
43,335,15,prim
26,337,15,prim
15,343,15,prim
8,345,15,prim
74,347,15,prim
77,349,15,prim
15,351,15,prim
19,353,15,prim
78,354,15,prim
8,357,15,prim
69,358,15,prim
26,359,15,prim
69,360,15,prim
65,361,15,prim
69,362,15,prim
65,363,15,prim
45,547,15,prim
84,657,15,prim
8,786,15,prim
15,340,15,prim
8,1610,15,prim
