id,name,country,short_name,alias,weblink,inspire_id,active,status,pub_addr
80,"McGill University, Montreal, Quebec",Canada,mcgill,McGill University,,"McGill U., Montreal (main)",f,inactive,
50,"Institut fur Kernphysik, University of Muenster, D-48149 Muenster, Germany",Germany,muenster,University of Muenster,http://www.uni-muenster.de/Welcome-e.html,Munster U.,f,inactive,"Institut f\""ur Kernphysik, University of M\""unster, D-48149 M\""unster, Germany"
35,"Kangnung National University, Kangnung 210-702, Korea",Korea,kangnung,Kangnung National University,http://www.kangnung.ac.kr/english_home/,Kangnung Natl. U.,f,inactive,"Kangnung National University, Kangnung 210-702, Korea"
21,"Florida Institute of Technology, Melbourne, Florida 32901, USA",USA,fit,Florida Institute of Technology,http://www.fit.edu/hep,Florida Inst. Tech.,t,dormant,"Florida Institute of Technology, Melbourne, Florida 32901, USA"
65,"São Paulo, Instituto de Fíica, Caixa Postal 66318, São Paulo CEP05315-970, Brazil",Brazil,saopaulo,Universidade de Sao Paulo,http://www2.usp.br/publishing/insite.cgi?template=index_en,Sao Paulo U.,t,dormant,"Universidade de S{\~a}o Paulo, Instituto de F\'{\i}sica, Caixa Postal 66318, S{\~a}o Paulo CEP05315-970, Brazil"
81,"Department of Physics, University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113, Japan",Japan,tokyo,"Department of Physics, University of Tokyo",,Tokyo U.,f,inactive,"Department of Physics, University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113, Japan"
64,"Saint Petersburg State Polytechnic University, St. Petersburg, 195251 Russia",Russia,sai_spbstu,St. Petersburg State Technical University,http://www.spbstu.ru/home.html,St. Petersburg Polytechnic Inst.,t,active,"Saint Petersburg State Polytechnic University, St. Petersburg, 195251 Russia"
9,"University of California - Riverside, Riverside, California 92521, USA",USA,ca_ucr,University of California - Riverside,http://www.physics.ucr.edu,"UC, Riverside (main)",t,active,"University of California - Riverside, Riverside, California 92521, USA"
60,"PNPI, Petersburg Nuclear Physics Institute, Gatchina, Leningrad region, 188300, Russia",Russia,pnpi,"PNPI, Petersburg Nuclear Physics Institute",http://www.pnpi.spb.ru/,"St. Petersburg, INP",t,active,"PNPI, Petersburg Nuclear Physics Institute, Gatchina, Leningrad region, 188300, Russia"
1,"Abilene Christian University, Abilene, Texas 79699, USA",USA,abilene,Abilene Christian University,http://emc2.acu.edu/physwww/,Abilene Christian U.,t,active,"Abilene Christian University, Abilene, Texas 79699, USA"
