id,family_name,first_name,nameid,miscellaneous,submit_date
1,Moss,Joel,"Moss,Joel",,
3,Hiejima,Hiroyoshi,"Hiejima,Hiroyoshi",,
4,Alley,Gary,"Alley,Gary",,
5,Patwa,Abid,"Patwa,Abid",,
6,Newby,Jason,"Newby,Jason",,
7,Otterlund,Ingvar,"Otterlund,Ingvar",,
8,Simon-Gillo,Jehanne,"Simon-Gillo,Jehanne",,
9,Bauer,Frank,"Bauer,Frank",,
10,Roschin,Evgueni,"Roschin,Evgueni",,
11,Kawagishi,Takayuki,"Kawagishi,Takayuki",,
12,Ewell,Lars,"Ewell,Lars",,
13,Paffrath,Leo,"Paffrath,Leo",,
14,Witzig,Chris,"Witzig,Chris",,
15,Wallace,Judson,"Wallace,Judson",,
16,Clark,D,"Clark,D",,
17,Pendzick,Al,"Pendzick,Al",,
18,Oyama,Ken,"Oyama,Ken",,
19,Kuroki,Yoshiaki,"Kuroki,Yoshiaki",,
20,Baltz,Tony,"Baltz,Tony",,
21,Kelly,Sean,"Kelly,Sean",,
22,Etkin,A,"Etkin,A",,
23,Cobigo,Yann,"Cobigo,Yann",,
24,Ghosh,Tarun,"Ghosh,Tarun",,
25,Richardson,Gary,"Richardson,Gary",,
26,Matsumoto,Takashi,"Matsumoto,Takashi",,
27,Camard,Xavier,"Camard,Xavier",,
28,Fried,Jack,"Fried,Jack",,
30,Peitzmann,Thomas,"Peitzmann,Thomas",,
31,Hu,Shouyang,"Hu,Shouyang",,
32,Onuchin,Victor,"Onuchin,Victor",,
33,Velkovsky,Momchil,"Velkovsky,Momchil",,
34,Harvey,A,"Harvey,A",,
35,Sangster,Craig,"Sangster,Craig",,
36,Makeev,A,"Makeev,A",,
37,Schukraft,Juergen,"Schukraft,Juergen",,
38,Sauerwald,A,"Sauerwald,A",,
39,Shajii,A,"Shajii,A",,
40,Usachev,A,"Usachev,A",,
41,Voronin,A,"Voronin,A",,
42,Shiva,Kumar,"Shiva,Kumar",,
43,Adler,Steve,"Adler,Steve",,
44,Wohn,Fred,"Wohn,Fred",,
45,Yokosawa,A,"Yokosawa,A",,
46,Morgan,Alison,"Morgan,Alison",,
47,Throwe,Jane,"Throwe,Jane",,
48,Levis,B,"Levis,B",,
49,Rawool-Sullivan,B,"Rawool-Sullivan,B",,
1584,Cernak,Robert,"Cernak,Robert",,2014-04-09 14:50:13.49415
51,Chikanian,Alexei,"Chikanian,Alexei",,
52,Potter,C,"Potter,C",,
53,Prokop,C,"Prokop,C",,
54,Sifuentes,C,"Sifuentes,C",,
55,Knapp,Chauncey,"Knapp,Chauncey",,
1585,Xu,Chen,"Xu,Chen",,2014-04-25 07:41:29.115321
57,Groups,D,"Groups,D",,
59,Ashton-Bosze,E,"Ashton-Bosze,E",,
60,Barasch,E,"Barasch,E",,
63,Kennedy,E,"Kennedy,E",,
64,Ciccarelli,G,"Ciccarelli,G",,
1587,Zhou,Mingliang,"Zhou,Mingliang",,2014-04-29 11:31:24.298304
66,James,G,"James,G",,
67,Rankowitz,Seymour,"Rankowitz,Seymour",,
68,Mark,Tommy,"Mark,Tommy",,
69,Bennett,Michael,"Bennett,Michael",,
70,Muniruzzaman,Mohammed,"Muniruzzaman,Mohammed",,
71,Johnson,Stephen,"Johnson,Stephen",,
72,Petitt,Gus,"Petitt,Gus",,
73,Dix,R,"Dix,R",,
74,Xiang,H,"Xiang,H",,
75,Filimonov,I,"Filimonov,I",,
76,Naumov,I,"Naumov,I",,
78,Tokyo,I,"Tokyo,I",,
79,Bernardin,J,"Bernardin,J",,
80,Cintorino,J,"Cintorino,J",,
81,Friedberg,J,"Friedberg,J",,
82,Hoff,J,"Hoff,J",,
83,Kurfess,J,"Kurfess,J",,
85,Mills,J,"Mills,J",,
87,Walker,J,"Walker,J",,
